sequence_id	protein_count	time	method
100053.SAMN02947772	3646	36.92	pyhmmer
1000565.SAMN02471991	3926	40.02	pyhmmer
100053.SAMN02947772	3646	38.16	pyhmmer
1000565.SAMN02471991	3926	40.57	pyhmmer
1001240.SAMN02863076	3249	32.53	pyhmmer
1001585.SAMN02603190	4958	54.83	pyhmmer
1001994.SAMN02470178	1945	18.84	pyhmmer
100225.SAMN05421595	3035	32.51	pyhmmer
100226.SAMEA1705940	8120	84.12	pyhmmer
1002339.SAMN00259686	2660	30.46	pyhmmer
1002340.SAMN02471702	4163	42.09	pyhmmer
1002368.SAMN02299454	4710	48.72	pyhmmer
1002526.SAMN05216578	3162	35.87	pyhmmer
1002672.SAMN02603337	1447	15.51	pyhmmer
1002804.SAMEA2272649	1894	20.32	pyhmmer
1002805.SAMEA2272226	2512	20.55	pyhmmer
1002809.SAMD00060988	3810	42.26	pyhmmer
1003195.SAMN02603879	5822	58.21	pyhmmer
1003202.SAMN02603530	839	10.71	pyhmmer
1003238.SAMN02470555	923	12.22	pyhmmer
1003.SAMN04488541	4556	57.82	pyhmmer
1004149.SAMN02470158	3214	38.01	pyhmmer
1004156.SAMN04504644	3263	32.56	pyhmmer
1004316.SAMN04029016	4990	50.14	pyhmmer
1004326.SAMN03339753	5135	50.15	pyhmmer
1004836.SAMN02471213	4895	40.98	pyhmmer
1004.SAMN05661012	6710	79.46	pyhmmer
1005048.SAMN02603677	4432	51.59	pyhmmer
1005057.SAMN02604330	529	7.1	pyhmmer
1005058.SAMN02604222	2494	30.92	pyhmmer
1005090.SAMN02604329	559	7.22	pyhmmer
1005705.SAMN00621697	1762	20.72	pyhmmer
1005928.SAMN04487859	4179	41.21	pyhmmer
1005944.SAMN05192576	4040	42.17	pyhmmer
1005945.SAMN05216561	4417	44.01	pyhmmer
1005999.SAMN02440792	3740	41.5	pyhmmer
1006000.SAMN02743264	4651	50.61	pyhmmer
1006004.SAMN02742621	4332	48.67	pyhmmer
1006006.SAMN02603221	2029	20.87	pyhmmer
1006576.SAMEA3139667	1815	24.08	pyhmmer
1006581.SAMN02641558	816	12.51	pyhmmer
1007096.SAMD00036625	2889	30.43	pyhmmer
1007099.SAMN05216287	4338	46.41	pyhmmer
1007103.SAMN02470015	7492	81.33	pyhmmer
1007105.SAMN02603906	3696	40.22	pyhmmer
1007118.SAMN02441637	1011	11.62	pyhmmer
1007119.SAMN02441647	1342	14.78	pyhmmer
1007123.SAMN02440392	1156	12.83	pyhmmer
1007676.SAMN03734923	2393	28.02	pyhmmer
1008305.SAMN04599355	1842	25.32	pyhmmer
1008392.SAMN03609695	3775	43.07	pyhmmer
1008457.SAMD00036610	2982	34.76	pyhmmer
1008459.SAMN02602982	1524	19.52	pyhmmer
100901.SAMEA2272360	647	8.41	pyhmmer
1009370.SAMN02469409	4284	45.68	pyhmmer
1009412.SAMN02441636	2315	26.85	pyhmmer
1009415.SAMN02441633	3253	37.18	pyhmmer
1009426.SAMN02441643	1343	14.96	pyhmmer
1009464.SAMN00100736	1317	21.62	pyhmmer
1009708.SAMN02440508	2177	22.87	pyhmmer
1009709.SAMN02441242	2097	21.4	pyhmmer
1009711.SAMN02440511	444	5.66	pyhmmer
1009858.SAMN02641631	565	7.27	pyhmmer
1010.SAMN05192578	4026	45.74	pyhmmer
101571.SAMN03449265	6067	62.31	pyhmmer
1017273.SAMN05443094	3766	42.67	pyhmmer
102125.SAMN02261354	5373	63.11	pyhmmer
102127.SAMN02261249	5182	60.55	pyhmmer
102129.SAMN02256520	7828	90.4	pyhmmer
102232.SAMN02261353	4087	44.03	pyhmmer
102684.SAMN04348603	1616	19.81	pyhmmer
1026882.SAMN02469574	3174	36.15	pyhmmer
1027249.SAMN05216179	3693	45.43	pyhmmer
1027371.SAMD00041830	4655	48.7	pyhmmer
1028416.SAMEA3731239	2769	33.67	pyhmmer
102891.SAMN03353435	5686	57.64	pyhmmer
1028989.SAMD00019511	5598	63.62	pyhmmer
1028.SAMN05661096	4082	49.92	pyhmmer
1029718.SAMD00060989	1491	18.26	pyhmmer
1029756.SAMN02641510	3331	34.74	pyhmmer
1029823.SAMN02470194	3623	40.55	pyhmmer
1030157.SAMN02470047	3872	40.05	pyhmmer
1030533.SAMEA3373827	7606	76.24	pyhmmer
1030841.SAMN02299456	2553	27.12	pyhmmer
1031288.SAMN02440782	2416	30.73	pyhmmer
1031564.SAMN03248541	1441	17.77	pyhmmer
1031742.SAMN03737969	1786	22.9	pyhmmer
1031746.SAMN03737973	1678	19.22	pyhmmer
1032069.SAMN03737995	1595	19.37	pyhmmer
1032480.SAMD00061117	5359	55.26	pyhmmer
1032488.SAMN02299457	2530	24.9	pyhmmer
1033730.PRJEA82327	3289	35.01	pyhmmer
1033731.SAMN05444145	2702	33.57	pyhmmer
1033732.PRJEA82331	3135	37.36	pyhmmer
1033733.PRJEA70539	1719	22.45	pyhmmer
1033734.SAMEA2272358	4582	49.59	pyhmmer
1033736.PRJEA82613	3039	33.78	pyhmmer
1033737.SAMEA2272503	3662	40.24	pyhmmer
1033738.PRJEA70549	883	11.39	pyhmmer
1033739.PRJEA70831	3190	36.22	pyhmmer
1033740.SAMEA2272665	3025	33.76	pyhmmer
1033741.SAMEA3246152	9054	82.32	pyhmmer
1033743.SAMEA2271960	4982	56.3	pyhmmer
1033744.SAMEA2272315	1722	22.39	pyhmmer
1033802.SAMN02472183	3524	37.87	pyhmmer
1033806.SAMEA2271992	2743	30.12	pyhmmer
1033810.SAMN02472186	3035	35.04	pyhmmer
1033837.SAMN02603965	1908	23.08	pyhmmer
1033846.SAMN04917425	3784	45.4	pyhmmer
1033991.SAMN02769652	4243	43.05	pyhmmer
1034345.SAMEA2272806	1929	24.06	pyhmmer
1034346.PRJEA70545	3446	38.74	pyhmmer
1034347.PRJEA68337	4884	54.74	pyhmmer
1034769.SAMN02441697	5871	69.5	pyhmmer
1034807.SAMEA3138411	2867	33.89	pyhmmer
1034808.SAMN02469901	803	12.44	pyhmmer
1034943.SAMEA2610544	3767	43.63	pyhmmer
1035188.SAMN00621708	2390	25.47	pyhmmer
1035189.SAMN00621709	2144	22.99	pyhmmer
1035193.SAMN02436687	3232	34.8	pyhmmer
1035195.SAMN02436928	2823	29.55	pyhmmer
1035197.SAMN02436797	2316	25.55	pyhmmer
1035707.SAMN05216552	7053	81.56	pyhmmer
1035839.SAMN02393707	2005	24.25	pyhmmer
1035.SAMEA3146256	4068	38.43	pyhmmer
1036181.SAMN05421756	4424	46.09	pyhmmer
103621.SAMN03197959	2130	25.58	pyhmmer
1036672.SAMN01940915	3873	35.02	pyhmmer
1036674.SAMN02469973	2299	28.47	pyhmmer
1036779.SAMN04515666	5922	59.17	pyhmmer
1036780.SAMN05421844	5006	50.58	pyhmmer
103690.SAMD00061094	5368	62.63	pyhmmer
103733.SAMN02645315	9340	99.73	pyhmmer
1037410.SAMN02469897	614	10.01	pyhmmer
1038014.SAMN04487910	4647	54.31	pyhmmer
103817.SAMN04226596	3153	33.56	pyhmmer
103855.SAMN03790813	4559	48.43	pyhmmer
1038856.SAMN05366384	3055	34.54	pyhmmer
1038858.SAMN02440776	5217	55.12	pyhmmer
1038859.SAMN02441128	7499	75.59	pyhmmer
1038860.SAMN02441450	9465	92.0	pyhmmer
1038862.SAMN02441026	8418	86.7	pyhmmer
1038867.SAMN02440715	8327	83.23	pyhmmer
1038869.SAMN02440713	7577	77.54	pyhmmer
104087.SAMN06102480	5481	59.61	pyhmmer
1040986.SAMN02440597	6822	68.96	pyhmmer
1040987.SAMN02597203	6091	61.17	pyhmmer
1040989.SAMN02441123	8103	81.64	pyhmmer
104099.SAMN03799295	2507	28.03	pyhmmer
104102.SAMN02849419	3662	36.15	pyhmmer
1041139.SAMN02256420	6477	63.78	pyhmmer
1041146.SAMN02441564	7365	72.5	pyhmmer
1041147.SAMN02441532	6415	66.07	pyhmmer
1041159.SAMN02597201	5889	59.96	pyhmmer
1041504.SAMD00016607	1346	17.71	pyhmmer
1041522.SAMN06760893	5307	52.77	pyhmmer
1041826.SAMN02603612	2642	33.15	pyhmmer
1041930.SAMN02603117	2455	26.89	pyhmmer
1041938.SAMN02954344	1987	17.73	pyhmmer
1041939.SAMN02954344	1756	16.23	pyhmmer
1042156.SAMD00060994	2619	31.75	pyhmmer
1042163.SAMN02469848	4509	53.86	pyhmmer
1042326.SAMN02597175	6315	64.11	pyhmmer
1042376.SAMN02470154	2836	35.66	pyhmmer
1042377.SAMN02470156	3215	39.23	pyhmmer
104268.SAMN05444344	2966	35.64	pyhmmer
104270.SAMD00050834	3747	42.91	pyhmmer
1042877.SAMN02603471	2133	24.23	pyhmmer
1043205.SAMN02471205	3179	33.87	pyhmmer
104336.SAMN03256325	3324	36.99	pyhmmer
104336.SAMN06392749	3523	37.39	pyhmmer
1043493.SAMN05421637	2746	30.08	pyhmmer
1044.SAMN02737001	3219	34.94	pyhmmer
1045009.SAMN02469456	3045	33.02	pyhmmer
1045558.SAMN05216175	4020	45.1	pyhmmer
1045773.SAMN05216555	3671	39.12	pyhmmer
1045774.SAMN05421872	5063	52.33	pyhmmer
1045775.SAMN05216378	5840	67.49	pyhmmer
1045854.SAMN02603132	1335	17.36	pyhmmer
1045855.SAMN02603133	3149	32.51	pyhmmer
1045877.SAMN03421272	3279	28.01	pyhmmer
104623.SAMN02470747	4413	48.45	pyhmmer
104628.SAMD00047008	1650	19.19	pyhmmer
1046627.SAMN02469766	3095	33.41	pyhmmer
104663.SAMN04488121	6851	83.83	pyhmmer
1046714.SAMN02472144	3381	43.99	pyhmmer
1046724.SAMN02256466	3636	38.16	pyhmmer
1046965.SAMN02441402	1806	21.96	pyhmmer
1046972.SAMN02441263	1850	22.89	pyhmmer
1046982.SAMN02441727	2352	32.09	pyhmmer
1047003.SAMN02441729	543	6.81	pyhmmer
1047013.SAMN02440394	2629	31.44	pyhmmer
1047055.SAMN02441601	2029	24.09	pyhmmer
1048205.SAMN03769207	6725	67.65	pyhmmer
1048260.SAMN02603870	2471	24.24	pyhmmer
1048339.SAMN02261321	5183	52.46	pyhmmer
1048340.SAMN05444487	3150	34.64	pyhmmer
1048380.SAMD00055724	4700	53.22	pyhmmer
1048830.SAMN02469898	981	14.34	pyhmmer
1048834.SAMN02603470	3208	32.4	pyhmmer
1048983.SAMN02739847	4341	50.05	pyhmmer
1049789.SAMN02436587	4205	45.86	pyhmmer
1049790.SAMN02436595	4264	45.49	pyhmmer
1049970.SAMN02436507	4238	47.02	pyhmmer
1049971.SAMN02436419	3954	45.15	pyhmmer
1050174.SAMN03462986	2465	28.37	pyhmmer
1050201.SAMN02261259	1737	21.49	pyhmmer
1050202.SAMN02261292	3881	38.93	pyhmmer
1050720.SAMN02469870	4793	48.43	pyhmmer
